geo,wst_oper,unit,year,value
ES,RCY_M,KG_HAB,1999.0,48.0
EU27_2020,RCY_M,KG_HAB,1999.0,85.0
ES,TRT,KG_HAB,1999.0,447.0
EU27_2020,TRT,KG_HAB,1999.0,472.0
ES,DSP_I,KG_HAB,2000.0,0.0
EU27_2020,DSP_I,KG_HAB,2000.0,37.0
ES,DSP_I_RCV_E,KG_HAB,2000.0,36.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2000.0,84.0
ES,DSP_L_OTH,KG_HAB,2000.0,334.0
EU27_2020,DSP_L_OTH,KG_HAB,2000.0,262.0
ES,GEN,KG_HAB,2000.0,653.0
EU27_2020,GEN,KG_HAB,2000.0,513.0
ES,RCV_E,KG_HAB,2000.0,36.0
EU27_2020,RCV_E,KG_HAB,2000.0,47.0
ES,RCY,KG_HAB,2000.0,120.0
EU27_2020,RCY,KG_HAB,2000.0,140.0
ES,RCY_C_D,KG_HAB,2000.0,77.0
EU27_2020,RCY_C_D,KG_HAB,2000.0,53.0
ES,RCY_M,KG_HAB,2000.0,44.0
EU27_2020,RCY_M,KG_HAB,2000.0,87.0
ES,TRT,KG_HAB,2000.0,491.0
EU27_2020,TRT,KG_HAB,2000.0,486.0
ES,DSP_I,KG_HAB,2001.0,0.0
EU27_2020,DSP_I,KG_HAB,2001.0,37.0
ES,DSP_I_RCV_E,KG_HAB,2001.0,36.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2001.0,87.0
ES,DSP_L_OTH,KG_HAB,2001.0,360.0
EU27_2020,DSP_L_OTH,KG_HAB,2001.0,250.0
ES,GEN,KG_HAB,2001.0,652.0
EU27_2020,GEN,KG_HAB,2001.0,509.0
ES,RCV_E,KG_HAB,2001.0,36.0
EU27_2020,RCV_E,KG_HAB,2001.0,49.0
ES,RCY,KG_HAB,2001.0,140.0
EU27_2020,RCY,KG_HAB,2001.0,146.0
ES,RCY_C_D,KG_HAB,2001.0,67.0
EU27_2020,RCY_C_D,KG_HAB,2001.0,54.0
ES,RCY_M,KG_HAB,2001.0,72.0
EU27_2020,RCY_M,KG_HAB,2001.0,92.0
ES,TRT,KG_HAB,2001.0,536.0
EU27_2020,TRT,KG_HAB,2001.0,483.0
ES,DSP_I,KG_HAB,2002.0,0.0
EU27_2020,DSP_I,KG_HAB,2002.0,38.0
ES,DSP_I_RCV_E,KG_HAB,2002.0,38.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2002.0,90.0
ES,DSP_L_OTH,KG_HAB,2002.0,355.0
EU27_2020,DSP_L_OTH,KG_HAB,2002.0,241.0
ES,GEN,KG_HAB,2002.0,637.0
EU27_2020,GEN,KG_HAB,2002.0,515.0
ES,RCV_E,KG_HAB,2002.0,38.0
EU27_2020,RCV_E,KG_HAB,2002.0,52.0
ES,RCY,KG_HAB,2002.0,186.0
EU27_2020,RCY,KG_HAB,2002.0,157.0
ES,RCY_C_D,KG_HAB,2002.0,94.0
EU27_2020,RCY_C_D,KG_HAB,2002.0,57.0
ES,RCY_M,KG_HAB,2002.0,92.0
EU27_2020,RCY_M,KG_HAB,2002.0,100.0
ES,TRT,KG_HAB,2002.0,580.0
EU27_2020,TRT,KG_HAB,2002.0,488.0
ES,DSP_I,KG_HAB,2003.0,0.0
EU27_2020,DSP_I,KG_HAB,2003.0,36.0
ES,DSP_I_RCV_E,KG_HAB,2003.0,42.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2003.0,90.0
ES,DSP_L_OTH,KG_HAB,2003.0,360.0
EU27_2020,DSP_L_OTH,KG_HAB,2003.0,229.0
ES,GEN,KG_HAB,2003.0,646.0
EU27_2020,GEN,KG_HAB,2003.0,502.0
ES,RCV_E,KG_HAB,2003.0,42.0
EU27_2020,RCV_E,KG_HAB,2003.0,54.0
ES,RCY,KG_HAB,2003.0,186.0
EU27_2020,RCY,KG_HAB,2003.0,156.0
ES,RCY_C_D,KG_HAB,2003.0,96.0
EU27_2020,RCY_C_D,KG_HAB,2003.0,57.0
ES,RCY_M,KG_HAB,2003.0,89.0
EU27_2020,RCY_M,KG_HAB,2003.0,100.0
ES,TRT,KG_HAB,2003.0,587.0
EU27_2020,TRT,KG_HAB,2003.0,475.0
ES,DSP_I,KG_HAB,2004.0,0.0
EU27_2020,DSP_I,KG_HAB,2004.0,38.0
ES,DSP_I_RCV_E,KG_HAB,2004.0,31.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2004.0,95.0
ES,DSP_L_OTH,KG_HAB,2004.0,304.0
EU27_2020,DSP_L_OTH,KG_HAB,2004.0,214.0
ES,GEN,KG_HAB,2004.0,600.0
EU27_2020,GEN,KG_HAB,2004.0,500.0
ES,RCV_E,KG_HAB,2004.0,31.0
EU27_2020,RCV_E,KG_HAB,2004.0,58.0
ES,RCY,KG_HAB,2004.0,185.0
EU27_2020,RCY,KG_HAB,2004.0,159.0
ES,RCY_C_D,KG_HAB,2004.0,98.0
EU27_2020,RCY_C_D,KG_HAB,2004.0,59.0
ES,RCY_M,KG_HAB,2004.0,87.0
EU27_2020,RCY_M,KG_HAB,2004.0,100.0
ES,TRT,KG_HAB,2004.0,521.0
EU27_2020,TRT,KG_HAB,2004.0,469.0
ES,DSP_I,KG_HAB,2005.0,0.0
EU27_2020,DSP_I,KG_HAB,2005.0,41.0
ES,DSP_I_RCV_E,KG_HAB,2005.0,44.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2005.0,103.0
ES,DSP_L_OTH,KG_HAB,2005.0,288.0
EU27_2020,DSP_L_OTH,KG_HAB,2005.0,202.0
ES,GEN,KG_HAB,2005.0,588.0
EU27_2020,GEN,KG_HAB,2005.0,506.0
ES,RCV_E,KG_HAB,2005.0,44.0
EU27_2020,RCV_E,KG_HAB,2005.0,61.0
ES,RCY,KG_HAB,2005.0,185.0
EU27_2020,RCY,KG_HAB,2005.0,164.0
ES,RCY_C_D,KG_HAB,2005.0,100.0
EU27_2020,RCY_C_D,KG_HAB,2005.0,59.0
ES,RCY_M,KG_HAB,2005.0,84.0
EU27_2020,RCY_M,KG_HAB,2005.0,105.0
ES,TRT,KG_HAB,2005.0,517.0
EU27_2020,TRT,KG_HAB,2005.0,469.0
ES,DSP_I,KG_HAB,2006.0,8.0
EU27_2020,DSP_I,KG_HAB,2006.0,41.0
ES,DSP_I_RCV_E,KG_HAB,2006.0,54.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2006.0,111.0
ES,DSP_L_OTH,KG_HAB,2006.0,353.0
EU27_2020,DSP_L_OTH,KG_HAB,2006.0,202.0
ES,GEN,KG_HAB,2006.0,590.0
