"idp";"fep";"sexo";"edad";"nacionalidad";"cpro";"grurba";"compra1";"compra2";"compra3";"compra4";"compra5";"donde1";"donde2";"donde3";"donde4";"donde5";"como";"alides1";"alides2";"alides3";"alides4";"alides5";"alides6";"respalim";"acaract1";"acaract2";"acaract3";"acaract4";"acaract5";"acaract6";"acaract7";"fresco";"higiene1";"higiene2";"higiene3";"higiene4";"higiene5";"higiene6";"higiene7";"pimport1";"pimport2";"pimport3";"pimport4";"pimport5";"pimport6";"resphig";"rnueva";"rcaract1";"rcaract2";"rcaract3";"rcaract4";"rcaract5";"rcaract6";"rcaract7";"rdes";"rnousa";"resprop";"medida1";"medida2";"medida3";"medida4";"medida5";"medida6";"medida7";"medida8";"noreduce1";"noreduce2";"noreduce3";"noreduce4";"noreduce5";"co2";"realiza";"vdispo1";"vdispo2";"vdispo3";"vdispo4";"vdispo5";"aguso1";"aguso2";"aguso3";"aguso4";"mtrans1";"mtrans2";"mtrans3";"mtrans4";"mtrans5";"mtrans6";"mtrans7";"mtrans8";"mmotiv1";"mmotiv2";"mmotiv3";"mmotiv4";"mmotiv5";"mmotiv6";"mmotiv7";"mmotiv8";"actitud";"mambient";"afecta";"actdigi";"nososte1";"nososte2";"nososte3";"nososte4";"nososte5";"nososte6";"nososte7";"confia";"propos1";"propos2";"propos3";"propos4";"propos5";"propos6";"propos7";"propos8";"nperson";"marco";"tipoh";"cest";"sactual";"ttrabajo";"cno";"ing"
4422;1174,07741571336;"1";"57";"1";"14";"2";"1";"1";"1";"1";"2";"1";"2";"2";"1";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"1";"2";"1";"1";"1";"1";"1";"1";"1";"2";"2";"-9";"-9";"-9";"-9";"-9";"4";"1";"1";"1";"1";"1";"1";"1";"1";"4";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"5";"2";"2";"2";"1";"2";"2";"2";"2";"3";"1";"2";"2";"2";"2";"2";"2";"2";"3";"3";"4";"2";"1";"3";"9";"4"
4532;1340,08336178417;"1";"23";"1";"14";"2";"2";"1";"1";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"1";"1";"1";"2";"1";"2";"2";"2";"2";"1";"1";"1";"2";"2";"2";"1";"2";"1";"1";"2";"2";"2";"2";"1";"1";"1";"1";"2";"2";"2";"2";"2";"1";"5";"1";"2";"2";"1";"2";"1";"1";"2";"2";"-9";"-9";"-9";"-9";"-9";"4";"2";"1";"1";"2";"2";"1";"3";"2";"3";"1";"1";"1";"2";"2";"2";"2";"1";"2";"-9";"-9";"-9";"-9";"-9";"-9";"-9";"-9";"1";"2";"5";"2";"2";"1";"1";"2";"2";"2";"2";"3";"1";"1";"1";"2";"2";"2";"2";"2";"4";"4";"4";"2";"1";"3";"7";"3"
1084;1022,34839483423;"6";"52";"1";"14";"2";"3";"1";"1";"3";"2";"2";"1";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"1";"1";"1";"2";"1";"2";"1";"2";"2";"1";"2";"2";"2";"2";"1";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"1";"1";"2";"1";"2";"2";"2";"-9";"-9";"-9";"-9";"-9";"4";"1";"1";"1";"2";"2";"1";"1";"1";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"9";"3";"2";"2";"2";"2";"2";"1";"2";"3";"1";"2";"2";"2";"1";"1";"2";"2";"2";"2";"3";"6";"1";"3";"4";"99"
2188;1079,03374337603;"6";"30";"1";"14";"2";"2";"1";"2";"2";"1";"2";"1";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"1";"1";"2";"2";"2";"1";"1";"1";"1";"2";"2";"2";"2";"2";"1";"4";"1";"2";"2";"1";"2";"1";"1";"2";"2";"-9";"-9";"-9";"-9";"-9";"4";"2";"1";"1";"2";"2";"1";"4";"4";"4";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"1";"1";"5";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"1";"2";"2";"2";"2";"3";"3";"1";"3";"7";"6"
4515;1270,36832887555;"1";"19";"1";"14";"2";"3";"1";"2";"3";"1";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"1";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"1";"2";"1";"2";"2";"2";"2";"1";"1";"1";"2";"2";"2";"2";"2";"4";"5";"1";"2";"1";"1";"1";"2";"1";"2";"2";"-9";"-9";"-9";"-9";"-9";"4";"2";"1";"1";"2";"2";"99";"3";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"4";"3";"2";"1";"1";"2";"2";"2";"2";"3";"1";"2";"2";"2";"2";"2";"2";"2";"4";"4";"4";"3";"7";"-9";"-9";"4"
2938;1220,30489450114;"6";"61";"1";"14";"2";"3";"1";"1";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"1";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"1";"1";"1";"1";"2";"2";"2";"2";"2";"1";"4";"1";"2";"2";"2";"2";"1";"2";"2";"2";"-9";"-9";"-9";"-9";"-9";"1";"2";"2";"1";"2";"2";"1";"1";"1";"4";"4";"2";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"1";"1";"10";"1";"2";"2";"2";"2";"2";"1";"2";"3";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"3";"3";"1";"1";"4";"3"
3033;1174,07741571336;"1";"58";"1";"14";"2";"3";"1";"1";"2";"3";"2";"1";"2";"1";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"1";"2";"1";"2";"2";"2";"2";"2";"1";"2";"1";"2";"1";"2";"1";"2";"2";"1";"2";"2";"1";"1";"1";"2";"2";"1";"2";"2";"2";"1";"2";"1";"1";"1";"1";"2";"2";"1";"2";"2";"-9";"-9";"-9";"-9";"-9";"4";"2";"1";"1";"2";"2";"2";"3";"3";"3";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"5";"3";"2";"2";"2";"2";"1";"1";"2";"4";"2";"2";"2";"1";"1";"1";"2";"2";"1";"1";"1";"3";"2";"3";"5";"3"
1141;1079,03374337603;"6";"33";"1";"14";"2";"3";"1";"1";"2";"1";"2";"1";"1";"2";"2";"1";"2";"2";"2";"1";"2";"2";"1";"1";"2";"1";"2";"2";"2";"2";"2";"1";"1";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"1";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"1";"2";"2";"1";"1";"2";"2";"-9";"-9";"-9";"-9";"-9";"4";"2";"1";"1";"2";"2";"1";"4";"3";"3";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"3";"2";"10";"3";"2";"2";"1";"2";"2";"2";"2";"3";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"3";"3";"1";"3";"6";"5"
986;1174,07741571336;"1";"55";"1";"14";"2";"3";"1";"1";"3";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"1";"1";"2";"1";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"1";"1";"1";"1";"2";"2";"2";"2";"2";"1";"6";"2";"2";"2";"1";"2";"1";"1";"2";"2";"-9";"-9";"-9";"-9";"-9";"4";"2";"1";"1";"2";"2";"1";"4";"4";"1";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"1";"1";"6";"3";"2";"1";"2";"2";"2";"2";"2";"3";"1";"2";"2";"2";"1";"1";"2";"2";"3";"3";"4";"2";"4";"3";"5";"4"
971;1128,98938025787;"6";"48";"1";"14";"2";"3";"1";"1";"2";"3";"2";"1";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"1";"1";"1";"1";"2";"2";"2";"2";"2";"1";"5";"1";"2";"2";"2";"2";"1";"2";"2";"2";"-9";"-9";"-9";"-9";"-9";"1";"2";"2";"1";"2";"2";"1";"3";"2";"3";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"1";"8";"2";"2";"2";"1";"2";"2";"2";"2";"3";"2";"1";"2";"2";"2";"2";"2";"2";"3";"3";"4";"2";"6";"-9";"9";"4"
